dataset,PR-AUC,ROC-AUC,AP
ALOI,3.6053722462297224,55.810658097332556,3.6200973653731747
annthyroid,26.306455487157155,73.03713798346128,26.394351066443143
backdoor,59.06815086750286,89.52041464101534,59.09088521133763
breastw,92.55612122326504,97.36439368238533,92.60856456911165
campaign,30.803590265723802,76.83634240564132,30.825628449189857
cardio,33.414670877401996,69.40071408953585,33.655626443997335
Cardiotocography,30.56146499914053,45.77031855493979,30.730292815363747
celeba,4.368906268085998,68.36355330077035,4.376202745704581
census,8.820539062496088,66.08247182278085,8.822219748979313
cover,2.738454441721926,63.15839364971991,2.7468840469745315
donors,14.740336261612189,81.26507351467413,14.742942846856542
fault,54.82088787647588,72.93888657126384,54.959963928797016
fraud,25.680561146589003,95.20968576734641,25.792874975676405
glass,26.497946893433127,90.449864498645,28.850587556225086
Hepatitis,29.96317401410613,66.49827784156143,32.670389347656986
http,3.313070791130107,87.78616189084268,3.3394752505371508
InternetAds,32.85787263700398,72.23346438482888,32.98635344078428
Ionosphere,93.07171567084707,95.79541446208113,93.10210220908533
landsat,26.261900862294006,61.66103315323145,26.301712929890154
letter,42.41279962033965,90.4412,42.6939621894362
Lymphography,88.7255291005291,99.46009389671362,89.60317460317458
magic.gamma,70.9234675375082,77.71951256950835,70.92674844071185
mammography,19.038393998954966,82.5346692582342,19.309904862657714
mnist,38.59687554024009,82.47327042072806,38.71632206170656
musk,68.17633068703381,98.07444237756646,68.29013135403818
optdigits,3.0453584584873767,54.75986313988683,3.0843990012810916
PageBlocks,54.23666918248682,90.15562596121798,54.28835541869248
pendigits,6.085983829038676,76.21015787905868,6.21095899697411
Pima,51.438822537160675,69.8217910447761,51.689112737223084
satellite,60.680036879732825,75.07257409368354,60.70837188863045
satimage-2,57.008874963546965,98.57616740218,57.53499679510986
shuttle,74.04117363068708,97.98712554508539,74.06405096921873
skin,34.8284091573891,79.02321354487631,34.82913381355036
smtp,24.401155566140893,92.2798078338204,25.62158107165401
SpamBase,43.035898664134834,58.12300683800634,43.09147504305212
speech,3.658571709648025,66.67237987563594,3.8408812413046314
Stamps,26.52023672925983,81.98559348575009,27.803330533770026
thyroid,41.58623103320805,96.42001829622939,42.22452827599508
vertebral,11.68400196268486,49.360317460317454,12.413714442917554
vowels,50.96605212002784,96.05917496443811,51.588018294316306
Waveform,5.761922105612059,63.37642835776249,5.994783006156599
WBC,85.50512434545394,99.00469483568075,86.15253896430366
WDBC,40.08353576812662,96.43137254901963,43.45431637895366
Wilt,5.132189485552503,51.359812151472916,5.164947531986388
wine,26.31959215378573,78.63865546218486,29.06794095235461
WPBC,26.72366747988038,55.03170353670564,27.66217421067612
yeast,30.82187632961778,43.97362210526528,30.94770078310414
CIFAR10,10.792470445363962,67.48717642585551,10.937631836082728
FashionMNIST,32.436168069004474,87.60373015873014,32.60918450129838
MNIST-C,19.261275043132958,79.71559552631578,19.370732132586312
MVTec-AD,58.06002374574861,77.96023983250595,58.40882973757172
SVHN,8.407512339612493,62.355457265021094,8.51032528639398
Agnews,11.04947121543131,71.57816368421052,11.127434653787578
Amazon,6.360073457678854,61.50578736842106,6.394297494592167
Imdb,4.625881609451477,49.40578315789474,4.6761306157759455
Yelp,8.745418557954904,68.08255157894736,8.79707604354814
20newsgroups,9.549126969928441,65.12916965744499,9.89636242168964
