dataset,PR-AUC,ROC-AUC,AP
ALOI,3.718017871823926,55.944090739531994,3.7286008531724257
annthyroid,34.45886897686869,85.1019483970869,34.628778033984354
backdoor,63.90482099129491,91.34921660964834,63.93456336957988
breastw,96.50492914920702,98.6397904180331,96.51925815994203
campaign,27.61224626649571,76.04234405486596,27.63292400344851
cardio,30.476169121860835,75.989219994507,30.798068520204748
Cardiotocography,28.776500931952743,49.63928184507688,28.896876405968865
celeba,4.078839823939425,66.98611776925864,4.085189836572693
census,9.128118778077718,67.24260229034638,9.130381775984366
cover,4.748046729092199,88.47512864699635,4.752691822153059
donors,16.443398330653665,82.36153071046743,16.446906886670185
fault,53.34200470043313,71.6251798763482,53.490367913921986
fraud,21.44293904607703,95.56484441495311,21.516251898162906
glass,16.29911280789864,79.08943089430893,17.955740851481934
Hepatitis,21.608681794055563,65.55683122847302,24.079752579274878
http,22.583194416152033,99.35072120844059,22.647622845669773
InternetAds,19.515090696995845,54.51158377319475,19.64548768394064
Ionosphere,91.44763902725254,92.85573192239859,91.47347661143881
landsat,25.02754312476102,58.06709223366211,25.080758019223147
letter,20.0675123333116,80.14933333333332,20.49075912494595
Lymphography,79.46667684167684,98.68544600938966,80.98036223036222
magic.gamma,62.70973331404044,69.29008857513888,62.716722139374895
mammography,20.452197440038127,87.20173733617843,20.658233902740285
mnist,34.51293595086355,81.58223546698122,34.619169859161104
musk,13.72092048929871,42.659619964882395,13.839287745990875
optdigits,1.999447741558042,35.31523884721674,2.0215289616236634
PageBlocks,60.22032202807798,93.00791461372589,60.2862818699555
pendigits,9.027842214752873,85.10587329957303,9.254789619106674
Pima,47.86754070120788,65.58268656716419,48.13272659141933
satellite,54.94243986481124,71.9536309600637,54.9885349383817
satimage-2,71.94594718890667,99.58134711970355,72.49872974693383
shuttle,70.88265470588959,98.45340008112092,70.91228761767623
skin,24.471127481809294,65.09675403059744,24.471646338103113
smtp,36.59921866319576,86.69766765482973,38.21576816702917
SpamBase,43.147296650109126,55.325997429150874,43.20292368202218
speech,2.294038511326093,49.32657998869418,2.4487355336898475
Stamps,27.149064661876437,86.31798726380624,28.733464199263715
thyroid,44.50629155783058,97.29034596240795,45.2689373765621
vertebral,9.497890486351663,39.46666666666666,9.925353765376721
vowels,31.645298391777825,90.6207681365576,32.48280867885423
Waveform,2.9794691811991947,51.87143284475023,3.0490234823224225
WBC,87.65527280027105,98.91079812206573,88.02966106024577
WDBC,22.789873503433082,93.22689075630251,25.991905759278293
Wilt,4.131045972546371,41.88680130395399,4.1538401378022405
wine,6.60413937356793,43.88235294117647,7.497023598844958
WPBC,22.131294469573994,48.443004086233614,23.170839952262273
yeast,29.691113749533503,41.4025748023071,29.806396834246424
CIFAR10,10.342096683238173,66.84158707224334,10.501185805543448
FashionMNIST,29.10406845188036,84.30441428571427,29.27471002854429
MNIST-C,16.32379072938848,75.65696289473684,16.43497543534179
MVTec-AD,54.152579087609595,74.93638377980771,54.643435599205525
SVHN,8.004246526978232,61.69752135425524,8.11416256950723
Agnews,8.324552300155938,65.1406747368421,8.386354646092949
Amazon,6.380609346531273,60.959667368421044,6.418888244772257
Imdb,4.62150406464307,49.22380210526316,4.678244612991701
Yelp,9.154202749951788,67.78743157894738,9.220896553221987
20newsgroups,7.855406417429053,59.453233622833615,8.199537548015408
