dataset,ada,ddae,delta
20newsgroups,14.529151150031225,9.285283795412202,5.243867354619024
ALOI,7.163396488611994,6.398579817388217,0.7648166712237767
Agnews,15.87647350943528,8.179161968952886,7.697311540482394
Amazon,11.681528856738336,9.769609067001152,1.9119197897371834
CIFAR10,19.419787719075853,8.030769957736121,11.389017761339732
Cardiotocography,63.544387800502804,45.59954351257381,17.944844287928994
FashionMNIST,58.073564823559295,6.4009794776986055,51.67258534586069
Hepatitis,63.829787234042556,28.2379680515346,35.591819182507955
Imdb,9.300730822938476,9.298926875004899,0.001803947933577632
InternetAds,45.40435817603931,21.949823764266842,23.454534411772467
Ionosphere,96.75175974447612,36.976056945636884,59.775702798839234
Lymphography,53.896103896103895,23.205251075313704,30.69085282079019
MNIST-C,45.38776669574692,6.7707679932688905,38.61699870247803
MVTec-AD,70.4530171615095,33.15892600217042,37.29409115933909
PageBlocks,86.21474040020118,53.16264736828447,33.05209303191671
Pima,71.39622884437216,63.87564444159748,7.520584402774681
SVHN,15.206712725002628,8.331041328660778,6.8756713963418505
SpamBase,93.13150314819015,59.565299384471324,33.566203763718825
Stamps,53.50526469870234,26.342921216333405,27.162343482368936
WBC,90.07133285531117,35.4331279475795,54.63820490773167
WDBC,74.25412374915133,5.632393599275056,68.62173014987627
WPBC,36.528837536988775,41.90109035424516,-5.372252817256388
Waveform,14.695251595874367,18.39222661949317,-3.6969750236188013
Wilt,16.12493554867043,6.376731189545237,9.748204359125193
Yelp,15.312366283955754,8.718589822232554,6.5937764617232
annthyroid,68.3143340918698,64.51631293734496,3.7980211545248324
backdoor,18.392377359121642,6.954404142320007,11.437973216801636
breastw,98.69778881307478,85.85432725585432,12.843461557220465
campaign,42.98959387292474,18.588755337995483,24.40083853492926
cardio,75.05247842822516,24.43483036617617,50.617648062048985
celeba,8.802631502721251,5.861070217344446,2.941561285376805
census,13.167180575058916,11.728853286694648,1.4383272883642686
cover,9.624148834396575,1.3202841192308687,8.303864715165705
donors,79.69609373071964,34.071459745762795,45.624633984956844
fault,75.15513407548673,50.883946887074245,24.271187188412483
fraud,13.385147495703615,0.2969878227145181,13.088159672989097
glass,27.938128315064414,25.45814987994546,2.479978435118955
http,38.434037172072145,73.27024912248126,-34.836211950409115
landsat,49.387112592016116,50.49107077159654,-1.1039581795804239
letter,37.718059864637205,7.803790829564676,29.91426903507253
magic.gamma,82.83511314540435,68.01106748485564,14.824045660548705
mammography,26.166262508164767,8.943877428415599,17.222385079749166
mnist,78.24444943051424,31.649613453526037,46.5948359769882
musk,99.99999999999999,3.1353665501518933,96.8646334498481
optdigits,19.50856420428921,4.827013551927301,14.68155065236191
pendigits,64.151629905049,4.09228730319083,60.05934260185818
satellite,86.1610262357811,61.172900630146806,24.988125605634288
satimage-2,97.42907148550763,44.42369207657573,53.0053794089319
shuttle,97.1183367719158,15.305214364475063,81.81312240744074
skin,70.71491854144539,49.93942315476259,20.775495386682792
smtp,43.8783258640085,30.9684061631259,12.909919700882604
speech,3.5078023035403247,3.0523879527154536,0.45541435082487114
thyroid,58.60749623087871,22.15644362244897,36.45105260842974
vertebral,26.57876444406322,18.39978701861221,8.178977425451013
vowels,63.92980460877324,3.967559245328669,59.962245363444566
wine,68.22724332714742,18.553446618786133,49.67379670836129
yeast,49.13376965036133,47.861423096685265,1.2723465536760656
