dataset,ada,ddae,delta
20newsgroups,7.855406417429054,8.644619779904712,-0.7892133624756577
ALOI,3.718017871823926,4.391205337542563,-0.673187465718637
Agnews,8.32455230015594,10.881346682520274,-2.556794382364334
Amazon,6.380609346531273,6.302591342347143,0.07801800418412963
CIFAR10,10.342096683238175,9.578126815909977,0.763969867328198
Cardiotocography,28.776500931952746,24.952943916563505,3.823557015389241
FashionMNIST,29.10406845188036,31.322175379416855,-2.218106927536496
Hepatitis,21.608681794055563,17.740165649782874,3.8685161442726894
Imdb,4.621504064643071,4.535234969541837,0.08626909510123415
InternetAds,19.515090696995845,30.746059311816726,-11.230968614820881
Ionosphere,91.44763902725254,88.38497907475112,3.06265995250142
Lymphography,79.46667684167684,48.668382129913816,30.798294711763027
MNIST-C,16.323790729388485,19.812803190573,-3.4890124611845152
MVTec-AD,54.1525790876096,48.85333878357538,5.299240304034221
PageBlocks,60.22032202807797,51.14626032045013,9.074061707627841
Pima,47.86754070120787,49.84713514323345,-1.9795944420255793
SVHN,8.004246526978232,8.114933098455102,-0.11068657147687055
SpamBase,43.147296650109126,42.48011788880699,0.6671787613021394
Stamps,27.149064661876434,29.903797939136023,-2.7547332772595894
WBC,87.65527280027104,69.49152861496769,18.163744185303344
WDBC,22.78987350343308,36.57090266078704,-13.781029157353963
WPBC,22.131294469573994,22.987779189422845,-0.8564847198488508
Waveform,2.9794691811991947,4.268833889728926,-1.2893647085297313
Wilt,4.13104597254637,4.757103743399445,-0.626057770853075
Yelp,9.154202749951788,8.706997168630974,0.447205581320814
annthyroid,34.45886897686869,24.441885347738797,10.016983629129896
backdoor,63.90482099129491,52.052668763061355,11.852152228233557
breastw,96.50492914920702,90.40863689349383,6.0962922557131805
campaign,27.612246266495713,30.25945070241449,-2.647204435918777
cardio,30.476169121860828,20.208390570800567,10.26777855106026
celeba,4.078839823939425,1.8494835728985048,2.2293562510409197
census,9.128118778077718,8.760564168963418,0.3675546091143005
cover,4.7480467290921995,1.3053094969816101,3.4427372321105896
donors,16.443398330653668,13.422608458766856,3.0207898718868123
fault,53.34200470043313,49.043934109918105,4.2980705905150245
fraud,21.442939046077033,7.497899235658484,13.94503981041855
glass,16.299112807898645,21.159481406463236,-4.860368598564591
http,22.583194416152033,0.4311977722934307,22.151996643858602
landsat,25.02754312476102,26.483324048278917,-1.4557809235178958
letter,20.0675123333116,30.965983847282576,-10.898471513970975
magic.gamma,62.709733314040434,69.17806587677103,-6.468332562730595
mammography,20.452197440038127,11.789619997983603,8.662577442054523
mnist,34.51293595086356,37.773760525110724,-3.2608245742471667
musk,13.720920489298711,30.432392749454948,-16.711472260156235
optdigits,1.999447741558042,3.1819577610145107,-1.1825100194564686
pendigits,9.027842214752873,4.495705556461777,4.532136658291096
satellite,54.94243986481125,52.8974772118662,2.0449626529450455
satimage-2,71.94594718890669,30.592190960346176,41.35375622856051
shuttle,70.8826547058896,12.05574593401941,58.826908771870194
skin,24.471127481809294,35.22705489734177,-10.75592741553248
smtp,36.59921866319576,11.418140080523903,25.18107858267185
speech,2.2940385113260926,1.915886160919299,0.3781523504067936
thyroid,44.50629155783058,29.841332794082472,14.664958763748107
vertebral,9.497890486351663,9.694516351887597,-0.19662586553593364
vowels,31.64529839177783,32.59565919985194,-0.9503608080741088
wine,6.6041393735679295,6.663390831332242,-0.0592514577643124
yeast,29.691113749533503,29.889828078877052,-0.1987143293435487
