dataset,PR-AUC,ROC-AUC,AP
ALOI,7.074553026895088,54.595448740685434,7.095373698409495
annthyroid,58.810353597997675,88.78682250247498,58.938122583591955
backdoor,16.613065569845702,80.88232551697392,16.643224404552406
breastw,98.37015839002188,98.70104414037468,98.3759299089253
campaign,32.49316600794057,65.74575027455629,32.51462618751336
cardio,77.5087386041767,92.18461791831358,77.5635361465207
Cardiotocography,65.82575746533298,74.6120411267136,65.86826934540923
celeba,5.456796065212701,59.41471331694389,5.460845454473652
census,12.809140415073033,59.11484846519269,12.81083362516578
cover,3.709112445561759,74.2933661125124,3.711527152579613
donors,34.37710262074049,86.75715651265016,34.37877983512909
fault,75.76338686289064,75.85625829071768,75.83095057048975
fraud,1.3170638637024634,77.0831713413576,1.3225165549826854
glass,25.955611274216544,77.13052858683926,28.347631576115674
Hepatitis,63.829787234042556,50.0,27.659574468085108
http,12.502615593840783,97.08118537461637,12.509303543417943
InternetAds,38.398371153667085,51.84483321543234,38.563288334918504
Ionosphere,97.52743726559648,96.8731563421829,97.53639752059391
landsat,49.54075272239395,62.42235882373179,49.597718510420506
letter,44.30192997671782,86.87626666666667,44.6940352346131
Lymphography,53.896103896103895,50.0,7.792207792207792
magic.gamma,80.60654791860402,76.11988716871501,80.60837140424846
mammography,37.78845584284578,88.41614793116076,37.91916227309111
mnist,76.62306672145813,94.15184158251947,76.66849929071408
musk,99.99999999999997,100.0,99.99999999999997
optdigits,21.335264292207206,89.98947229898671,21.517500662983355
PageBlocks,85.33555755687942,96.1567824509001,85.36886597832336
pendigits,86.41179226128666,99.42718238964888,86.53172799973466
Pima,70.25534200425379,70.59283582089553,70.40992554485396
satellite,84.96792380117482,78.63893329165923,84.97065707634975
satimage-2,97.62395804217296,99.89719194440895,97.63533072517868
shuttle,96.82830523561476,99.77461525330267,96.84521402060898
skin,59.00104555315486,85.5662365024537,59.00199223549984
smtp,51.6803822993413,91.01696697012385,52.26764487849962
SpamBase,91.82276761605168,87.78196409858188,91.82539591169375
speech,3.479132540827416,49.71869829012686,3.7316552137029237
Stamps,58.76239109294541,93.0780437044745,60.37453417587578
thyroid,70.79300813005051,98.36886395511921,71.37826039738698
vertebral,23.551722774654525,53.63174603174603,25.09313661148847
vowels,76.82547264448618,96.0398293029872,77.06045398507956
Waveform,10.479579552368525,67.80933014354066,10.827952890938297
WBC,87.26213182242594,98.76635514018692,88.04527694527692
WDBC,80.42467894592507,98.97206703910616,81.84967048775098
Wilt,25.656227988454912,81.53318651625592,25.785868180901762
wine,64.64440283079134,93.6,67.24885563912491
WPBC,36.24122970720541,51.53975363941768,37.30915124741935
yeast,50.20984677613527,46.72805669502225,50.33498039885187
CIFAR10,19.507909389295648,67.5884669201521,19.712930440232835
FashionMNIST,58.513916333247884,89.15553227513229,58.6617123924369
MNIST-C,45.22281426742416,82.40975578947369,45.345682627174064
MVTec-AD,70.28765688877428,70.4947995710629,62.83470692082578
SVHN,15.052784633257454,61.205491408007404,15.226366990524873
Agnews,15.819610656041561,65.78412421052631,15.918385871675236
Amazon,11.712193715907508,60.01430315789473,11.780629894177352
Imdb,9.06813480996481,50.35217684210526,9.124835775778534
Yelp,16.7054637258836,68.12341473684211,16.810602545572394
20newsgroups,14.042867449270508,58.28476215208447,14.583998776079515
