dataset,ada,ddae,delta
20newsgroups,7.170521978430405,7.855406417429054,-0.6848844389986493
ALOI,3.614314778286828,3.718017871823926,-0.10370309353709795
Agnews,7.964388145527328,8.32455230015594,-0.3601641546286114
Amazon,6.234490107049204,6.380609346531273,-0.1461192394820685
CIFAR10,10.08159992833372,10.342096683238175,-0.26049675490445523
Cardiotocography,33.19635554414115,28.776500931952746,4.419854612188402
FashionMNIST,31.122574795816682,29.10406845188036,2.0185063439363233
Hepatitis,25.86299957950525,21.608681794055563,4.254317785449686
Imdb,4.644852775157919,4.621504064643071,0.023348710514848214
InternetAds,20.895177417370288,19.515090696995845,1.3800867203744431
Ionosphere,88.59586859197476,91.44763902725254,-2.8517704352777713
Lymphography,94.73611111111111,79.46667684167684,15.26943426943427
MNIST-C,17.841820100626542,16.323790729388485,1.5180293712380575
MVTec-AD,54.403929183820594,54.1525790876096,0.2513500962109916
PageBlocks,55.389106626473314,60.22032202807797,-4.831215401604659
Pima,50.020966448843424,47.86754070120787,2.153425747635552
SVHN,7.858838909529325,8.004246526978232,-0.14540761744890673
SpamBase,42.447876174787424,43.147296650109126,-0.6994204753217019
Stamps,32.27810456302814,27.149064661876434,5.129039901151703
WBC,90.97754808774629,87.65527280027104,3.32227528747525
WDBC,36.14422903563363,22.78987350343308,13.35435553220055
WPBC,21.912814829044347,22.131294469573994,-0.2184796405296474
Waveform,7.7220485276659145,2.9794691811991947,4.742579346466719
Wilt,5.72474237124275,4.13104597254637,1.5936963986963804
Yelp,8.841641741736561,9.154202749951788,-0.31256100821522637
annthyroid,32.597702558795135,34.45886897686869,-1.8611664180735588
backdoor,55.38917304215589,63.90482099129491,-8.515647949139023
breastw,96.299104858714,96.50492914920702,-0.20582429049301254
campaign,29.273218060798786,27.612246266495713,1.660971794303073
cardio,38.941735815805046,30.476169121860828,8.465566693944218
celeba,4.916791739412626,4.078839823939425,0.8379519154732016
census,8.744811341121322,9.128118778077718,-0.3833074369563967
cover,3.2084262055877333,4.7480467290921995,-1.5396205235044662
donors,15.81123592209195,16.443398330653668,-0.6321624085617188
fault,50.113887154373764,53.34200470043313,-3.228117546059366
fraud,14.284309342561965,21.442939046077033,-7.158629703515068
glass,14.122189966735345,16.299112807898645,-2.1769228411633
http,20.79129932782139,22.583194416152033,-1.7918950883306444
landsat,22.018123687083893,25.02754312476102,-3.0094194376771277
letter,21.620276833004834,20.0675123333116,1.5527644996932324
magic.gamma,63.295836509627364,62.709733314040434,0.5861031955869294
mammography,20.147181689627814,20.452197440038127,-0.3050157504103126
mnist,40.43615442695544,34.51293595086356,5.923218476091883
musk,10.595472116480911,13.720920489298711,-3.1254483728178
optdigits,2.315438212678816,1.999447741558042,0.31599047112077416
pendigits,8.416189462626722,9.027842214752873,-0.611652752126151
satellite,67.98332505130216,54.94243986481125,13.040885186490911
satimage-2,73.84204366773312,71.94594718890669,1.8960964788264363
shuttle,74.39831374768274,70.8826547058896,3.5156590417931284
skin,23.695391209771866,24.471127481809294,-0.7757362720374275
smtp,34.68984009166563,36.59921866319576,-1.9093785715301266
speech,1.8254989684695104,2.2940385113260926,-0.46853954285658217
thyroid,43.210224793844006,44.50629155783058,-1.2960667639865733
vertebral,8.864830747195677,9.497890486351663,-0.6330597391559856
vowels,37.75277493569322,31.64529839177783,6.107476543915389
wine,11.445399992943061,6.6041393735679295,4.841260619375132
yeast,29.503899939918437,29.691113749533503,-0.1872138096150664
