dataset,ada,ddae,delta
20newsgroups,14.042867449270506,17.26919028377928,-3.2263228345087747
ALOI,7.074553026895087,9.237281816541353,-2.162728789646266
Agnews,15.819610656041558,23.385137553277445,-7.565526897235888
Amazon,11.712193715907507,12.352692872762727,-0.6404991568552205
CIFAR10,19.50790938929565,20.337836284087473,-0.8299268947918215
Cardiotocography,65.825757465333,65.27055971295141,0.5551977523815879
FashionMNIST,58.51391633324789,61.14720464120588,-2.63328830795799
Hepatitis,63.829787234042556,50.957994588550676,12.87179264549188
Imdb,9.06813480996481,8.999892601599255,0.06824220836555561
InternetAds,38.39837115366708,78.95202128748906,-40.55365013382198
Ionosphere,97.52743726559648,97.00664891179215,0.5207883538043205
Lymphography,53.896103896103895,87.82900432900433,-33.93290043290044
MNIST-C,45.22281426742415,50.14664121865246,-4.923826951228314
MVTec-AD,70.2876568887743,70.29106720362704,-0.003410314852743568
PageBlocks,85.33555755687944,85.33895815820624,-0.0034006013268026436
Pima,70.25534200425379,69.61354901911928,0.641792985134515
SVHN,15.05278463325745,15.672817245067193,-0.6200326118097426
SpamBase,91.82276761605168,89.26057365525072,2.562193960800954
Stamps,58.762391092945414,57.1687936532859,1.5935974396595114
WBC,87.26213182242593,83.38596292338552,3.876168899040408
WDBC,80.42467894592508,71.1054956481427,9.319183297782374
WPBC,36.24122970720541,36.7044575875742,-0.46322788036878393
Waveform,10.479579552368525,14.53021386529097,-4.050634312922444
Wilt,25.656227988454912,13.495374088531253,12.160853899923659
Yelp,16.7054637258836,17.395776572302818,-0.6903128464192179
annthyroid,58.810353597997675,67.44106287147412,-8.630709273476441
backdoor,16.6130655698457,67.54473067470657,-50.93166510486087
breastw,98.37015839002187,98.56027276149266,-0.19011437147078425
campaign,32.493166007940566,51.56073082764923,-19.067564819708664
cardio,77.5087386041767,79.69635041948808,-2.187611815311385
celeba,5.456796065212702,8.87607537604813,-3.419279310835428
census,12.809140415073035,21.506710540541043,-8.697570125468008
cover,3.709112445561759,79.3741733711523,-75.66506092559054
donors,34.37710262074048,98.64613046174725,-64.26902784100676
fault,75.76338686289064,77.77872967326232,-2.0153428103716777
fraud,1.3170638637024634,62.59029622690749,-61.273232363205025
glass,25.955611274216544,24.613779559031133,1.3418317151854104
http,12.502615593840781,99.60558507524547,-87.10296948140468
landsat,49.54075272239395,57.45814131570103,-7.917388593307081
letter,44.30192997671783,73.12302417064127,-28.821094193923443
magic.gamma,80.60654791860402,88.2506344481666,-7.644086529562571
mammography,37.78845584284578,36.96788415510447,0.8205716877413067
mnist,76.62306672145813,77.8133443639316,-1.1902776424734753
musk,99.99999999999999,99.99999999999999,0.0
optdigits,21.335264292207206,33.50917681040377,-12.173912518196566
pendigits,86.41179226128668,93.46456833675424,-7.052776075467563
satellite,84.96792380117482,87.92619145535477,-2.9582676541799486
satimage-2,97.62395804217296,93.08110432304194,4.542853719131017
shuttle,96.82830523561475,98.44554421967891,-1.6172389840641586
skin,59.00104555315487,87.30325679344082,-28.302211240285956
smtp,51.6803822993413,52.931573220956025,-1.2511909216147288
speech,3.479132540827416,3.7226770788049146,-0.24354453797749853
thyroid,70.79300813005052,75.7627465438082,-4.969738413757682
vertebral,23.551722774654525,20.37473684783886,3.1769859268156644
vowels,76.82547264448618,92.19337995535338,-15.367907310867196
wine,64.64440283079134,78.65152714932125,-14.007124318529918
yeast,50.209846776135265,50.244454488440844,-0.03460771230557924
