dataset,PR-AUC,ROC-AUC,AP
ALOI,10.510688942284638,58.05582376301254,10.562452382070859
cardio,80.16285780640008,93.65461682037768,80.21424432928494
glass,25.042063699837048,85.59870550161813,29.73790364131513
letter,76.04361911254122,95.54533333333333,76.23058306704134
mammography,25.849701139263402,83.10239627637101,26.087913273258163
musk,99.99999999999999,100.0,99.99999999999999
pendigits,95.42765844358753,99.88371027245022,95.5363391927444
shuttle,99.52295448088763,99.97420720455594,99.53750372789924
speech,2.6933096868219444,42.41588527302813,2.7968347508460556
thyroid,66.07921417551721,98.42069892473117,66.7190935737685
vertebral,28.604005433287693,60.23809523809525,29.67402974026456
wine,68.11988705738705,96.08333333333333,71.8126873126873
