dataset,PR-AUC,ROC-AUC,AP
ALOI,3.5475596500291577,55.42266334018233,3.5576027232152976
cardio,51.180540336081016,90.84197335896732,51.51647352665684
glass,8.5313786688832,69.62059620596206,11.46835474820254
letter,11.266893402258985,65.87166666666667,11.774979613568707
mammography,21.43277864259682,86.85684406228214,21.53683092834025
musk,75.45936012755274,98.4680377601224,75.57792011048832
pendigits,18.614712394294976,91.58675328246373,18.88711186952329
shuttle,80.84409698604765,99.05293106235939,80.86915515853906
speech,1.4959696271814789,45.77976257772753,1.5582655795085691
thyroid,46.74996523490789,96.38649469380121,46.99594341517366
vertebral,8.720661424439589,33.96825396825397,9.086475936088789
wine,12.124229046078982,70.3781512605042,14.174306636148584
