dataset,PR-AUC,ROC-AUC,AP
ALOI,10.381972714601355,57.953095919197615,10.429110896682857
cardio,79.27697121344922,92.4066754501537,79.32673027015308
glass,25.163486585785105,85.24271844660193,29.189084814058607
letter,73.31926759353557,95.3808,73.52482603616767
mammography,26.04433949395887,81.94357519082894,26.246783109813332
musk,99.99999999999997,100.0,99.99999999999997
pendigits,93.51818503917669,99.81007920686204,93.64708479597695
shuttle,99.63758362254865,99.9753673242832,99.6436917235515
speech,2.8343940701799526,42.589856500863526,3.0051155929572593
thyroid,66.71807639373867,98.17262739597943,67.33039900506041
vertebral,25.08624994332037,56.21587301587302,26.332763967716254
wine,75.81736131515542,96.29999999999998,77.86989954489954
annthyroid,61.743763482390015,91.59346271705822,61.866932982497346
backdoor,36.88790609747905,91.15730005494076,36.92227263203766
breastw,98.00955084844647,98.5125711485544,98.01849800411212
campaign,51.39066043508323,79.5983645031758,51.41335243766911
Cardiotocography,64.75379284739424,71.72361348389516,64.79287309430958
celeba,8.655730477921061,69.20715423825155,8.666780236878154
census,20.743806012145907,71.70357892334428,20.74982283651062
cover,81.45112437362954,97.20648466307918,81.47244747615665
donors,98.84552171873156,99.88567755607386,98.84693497176988
fault,77.80228179903895,79.26959656137356,77.86288935083952
fraud,68.67159797218788,95.83867692388989,68.71995902735793
Hepatitis,51.45443440384023,78.86877828054297,54.42855149569393
http,84.59070351911426,99.89593818776757,84.66517803653379
InternetAds,44.463688115541125,63.603961473581116,44.65155697814173
Ionosphere,97.19151070233897,96.35763449922742,97.20143978889617
landsat,57.42831439569904,72.44632894797591,57.48969912435392
Lymphography,92.43061568061567,99.10798122065728,92.9167869167869
magic.gamma,88.52757703313368,85.67698601258328,88.52861314587186
mnist,77.85503861755305,94.7804585333554,77.88828548910041
optdigits,33.27885844108943,94.62013422818792,33.525086125102376
PageBlocks,85.3112275455412,95.80157697804756,85.35450135095275
Pima,69.25602227688033,69.48119402985074,69.42578903291786
satellite,87.92304647996734,84.64491427040542,87.9254805001815
satimage-2,93.37477203353369,99.77158133729101,93.42305025352218
skin,86.8914148558763,96.39791991542236,86.89293668813936
smtp,48.49155947719087,93.50861664178738,48.91944273215078
SpamBase,91.5445517711578,88.39932600025634,91.54787435083567
Stamps,57.53791836095441,92.24973985431842,58.99458358829431
vowels,92.81066309059807,99.22389758179231,92.88737949413317
Waveform,14.676812756459586,72.43779904306218,15.13371481151994
WBC,82.31854906789117,98.14953271028038,83.39451469583048
WDBC,79.50082727729786,98.81564245810056,80.79179137855607
Wilt,18.672838326033183,72.78535081718886,18.79312499222547
WPBC,37.15446456648145,51.786114221724524,38.44038361817278
yeast,49.802181326847496,46.75903405492835,49.9706954620858
CIFAR10,20.17864916529585,68.33777642585551,20.38486470818243
FashionMNIST,60.60946176352678,90.44310264550263,60.7578505345747
MNIST-C,48.98057065831796,85.22051210526315,49.10066472450373
MVTec-AD,69.00043205342108,76.67276228895209,69.34619631561516
SVHN,15.537862472950096,62.33141140480705,15.7140682168934
Agnews,17.81217539024861,69.1430947368421,17.920402411934315
Amazon,12.233456026698164,61.64254736842106,12.303732254441204
Imdb,9.162402208442574,50.46889263157895,9.243390108277724
Yelp,16.439603256808414,67.78065684210527,16.536508068867445
20newsgroups,14.492865213201927,61.16692261747725,15.020310178352
