dataset,PR-AUC,ROC-AUC,AP
ALOI,3.5438072362821615,55.38772971779985,3.554421972575335
cardio,50.97500411313914,90.71759132106564,51.24978833827931
glass,8.00707181141903,69.43089430894308,10.388728839388662
letter,11.193042177211659,65.87533333333333,11.708536740475814
mammography,21.13348329513343,86.82855160951839,21.24193441068695
musk,78.20263888986976,98.63375115175327,78.302602521867
pendigits,18.392472827065117,91.36387418558999,18.65899224985897
shuttle,81.04014098677969,99.06939466579597,81.06495268950043
speech,1.5358082320962885,45.451848501978525,1.6361721959615187
thyroid,48.778032304741984,96.43352126425192,48.99925383622891
vertebral,8.918954870031078,35.507936507936506,9.30084763763819
wine,12.258560328662208,70.70588235294117,14.410037792082347
annthyroid,25.03853194332704,70.40469496387841,25.10064443612113
backdoor,53.24192822954713,89.00888664201257,53.26997899885056
breastw,94.6442541027334,96.61163255305516,94.6562233619893
campaign,28.342734119035285,74.1068990991535,28.36315452798107
Cardiotocography,41.277368434745256,68.09213404725197,41.36340579898803
celeba,7.781181009101674,76.16336745367217,7.796486469718697
census,8.456881416989951,65.30277309163253,8.459535980999737
cover,7.417462316331417,92.84004679159213,7.425586498637052
donors,15.615968889043192,79.67101053895625,15.618744815750043
fault,37.72152715712364,54.91567490543308,37.86921163562454
fraud,9.693521917818185,95.11578670971979,9.79612499291265
Hepatitis,36.204518303906944,76.16532721010334,38.953707043868725
http,27.611010972426755,99.54344296335178,27.73541454780017
InternetAds,24.2994207412085,56.419743429286605,24.455261835978142
Ionosphere,82.33845466440806,85.7537918871252,82.40033933839224
landsat,17.76002529587381,42.785670447404094,17.784178948738322
Lymphography,90.37301587301589,99.60093896713616,91.26587301587301
magic.gamma,60.513848519535316,67.89381257788892,60.517458223500256
mnist,38.69503657349456,85.16253181846402,38.80234268165499
optdigits,2.744742789645128,52.54653243847874,2.7718844182247246
PageBlocks,51.60670259009957,90.92431123586032,51.6717844201262
Pima,48.23274223104249,66.29253731343283,48.58161976527601
satellite,62.19432472684201,65.60835178204012,62.20233854769417
satimage-2,87.32153900595438,99.04121168041044,87.37366049326965
skin,20.507046748009863,55.88979084819663,20.507536268515967
smtp,21.95075302402071,82.72033583527814,23.855203597063817
SpamBase,41.66492385448574,55.10981945627671,41.711642457450125
Stamps,33.04967523240522,90.3163169433135,34.79032134747205
vowels,11.39060209841281,73.09160739687056,11.998390827806492
Waveform,5.558163398893316,66.00275201914447,5.668750920850103
WBC,87.54283682004271,99.1924882629108,88.07270872402452
WDBC,48.55171341396994,97.98319327731093,52.288382124411534
Wilt,3.653469392237701,33.96337874882509,3.674613708467615
WPBC,21.18516709121616,45.844723122446105,22.053248628744846
yeast,29.631994994896203,40.50422034202839,29.759075644095006
CIFAR10,10.015845787997804,65.82707300380228,10.168973243418064
FashionMNIST,31.282871097404673,85.34091428571429,31.447210368742713
MNIST-C,16.927373028077653,74.62058236842107,17.039003419957282
MVTec-AD,53.349162912706284,72.83831887189321,53.74857848090235
SVHN,7.717511236967494,59.98391834584391,7.827592281346889
Agnews,6.38132443141943,58.096654210526324,6.431135652279349
Amazon,5.783858172422142,56.20628,5.822118762428148
Imdb,4.552665517565541,48.12342947368421,4.60671174655047
Yelp,7.162741515941745,60.47096421052631,7.212869990630252
20newsgroups,6.273278247285638,54.93985101012711,6.583637061474019
