dataset,ada,ddae,delta
20newsgroups,14.492865213201927,17.26919028377928,-2.7763250705773537
ALOI,10.381972714601355,9.237281816541353,1.1446908980600021
Agnews,17.812175390248605,23.385137553277445,-5.572962163028841
Amazon,12.233456026698164,12.352692872762727,-0.1192368460645632
CIFAR10,20.178649165295855,20.337836284087473,-0.15918711879161762
Cardiotocography,64.75379284739424,65.27055971295141,-0.5167668655571731
FashionMNIST,60.60946176352677,61.14720464120588,-0.5377428776791149
Hepatitis,51.45443440384022,50.957994588550676,0.4964398152895413
Imdb,9.162402208442574,8.999892601599255,0.16250960684331872
InternetAds,44.46368811554112,78.95202128748906,-34.48833317194794
Ionosphere,97.19151070233895,97.00664891179215,0.18486179054679042
Lymphography,92.43061568061567,87.82900432900433,4.601611351611339
MNIST-C,48.98057065831796,50.14664121865246,-1.1660705603345036
MVTec-AD,69.00043205342106,70.29106720362704,-1.290635150205972
PageBlocks,85.31122754554121,85.33895815820624,-0.027730612665024523
Pima,69.25602227688032,69.61354901911928,-0.3575267422389601
SVHN,15.537862472950096,15.672817245067193,-0.13495477211709783
SpamBase,91.54455177115781,89.26057365525072,2.2839781159070895
Stamps,57.53791836095443,57.1687936532859,0.3691247076685258
WBC,82.31854906789117,83.38596292338552,-1.067413855494351
WDBC,79.50082727729786,71.1054956481427,8.395331629155152
WPBC,37.154464566481444,36.7044575875742,0.45000697890724695
Waveform,14.676812756459588,14.53021386529097,0.1465988911686189
Wilt,18.672838326033183,13.495374088531253,5.17746423750193
Yelp,16.439603256808418,17.395776572302818,-0.9561733154944001
annthyroid,61.74376348239002,67.44106287147412,-5.697299389084094
backdoor,36.887906097479046,67.54473067470657,-30.656824577227525
breastw,98.00955084844647,98.56027276149266,-0.5507219130461891
campaign,51.39066043508321,51.56073082764923,-0.17007039256601786
cardio,79.27697121344922,79.69635041948808,-0.4193792060388688
celeba,8.655730477921063,8.87607537604813,-0.2203448981270668
census,20.74380601214591,21.506710540541043,-0.7629045283951328
cover,81.45112437362954,79.3741733711523,2.0769510024772444
donors,98.84552171873158,98.64613046174725,0.19939125698432747
fault,77.80228179903895,77.77872967326232,0.023552125776632238
fraud,68.67159797218787,62.59029622690749,6.081301745280378
glass,25.1634865857851,24.613779559031133,0.5497070267539677
http,84.59070351911426,99.60558507524547,-15.014881556131215
landsat,57.42831439569905,57.45814131570103,-0.029826920001980284
letter,73.31926759353559,73.12302417064127,0.1962434228943124
magic.gamma,88.52757703313367,88.2506344481666,0.2769425849670739
mammography,26.044339493958866,36.96788415510447,-10.923544661145606
mnist,77.85503861755305,77.8133443639316,0.04169425362144352
musk,99.99999999999999,99.99999999999999,0.0
optdigits,33.27885844108943,33.50917681040377,-0.23031836931433958
pendigits,93.51818503917669,93.46456833675424,0.05361670242244543
satellite,87.92304647996733,87.92619145535477,-0.003144975387442628
satimage-2,93.3747720335337,93.08110432304194,0.29366771049176066
shuttle,99.63758362254865,98.44554421967891,1.1920394028697388
skin,86.8914148558763,87.30325679344082,-0.4118419375645175
smtp,48.49155947719087,52.931573220956025,-4.440013743765157
speech,2.834394070179952,3.7226770788049146,-0.8882830086249625
thyroid,66.71807639373867,75.7627465438082,-9.044670150069535
vertebral,25.086249943320375,20.37473684783886,4.711513095481514
vowels,92.81066309059806,92.19337995535338,0.6172831352446764
wine,75.81736131515542,78.65152714932125,-2.8341658341658302
yeast,49.802181326847496,50.244454488440844,-0.4422731615933486
