dataset,ada,ddae,delta
20newsgroups,6.273278247285638,8.644619779904712,-2.3713415326190743
ALOI,3.5438072362821615,4.391205337542563,-0.8473981012604015
Agnews,6.381324431419431,10.881346682520274,-4.500022251100843
Amazon,5.783858172422142,6.302591342347143,-0.5187331699250013
CIFAR10,10.015845787997803,9.578126815909977,0.4377189720878256
Cardiotocography,41.277368434745256,24.952943916563505,16.32442451818175
FashionMNIST,31.282871097404676,31.322175379416855,-0.039304282012178504
Hepatitis,36.20451830390694,17.740165649782874,18.464352654124063
Imdb,4.552665517565541,4.535234969541837,0.017430548023703807
InternetAds,24.2994207412085,30.746059311816726,-6.446638570608226
Ionosphere,82.33845466440806,88.38497907475112,-6.0465244103430535
Lymphography,90.37301587301587,48.668382129913816,41.70463374310206
MNIST-C,16.92737302807765,19.812803190573,-2.88543016249535
MVTec-AD,53.34916291270629,48.85333878357538,4.495824129130909
PageBlocks,51.60670259009957,51.14626032045013,0.460442269649441
Pima,48.23274223104248,49.84713514323345,-1.6143929121909721
SVHN,7.717511236967492,8.114933098455102,-0.3974218614876106
SpamBase,41.66492385448574,42.48011788880699,-0.8151940343212445
Stamps,33.04967523240523,29.903797939136023,3.145877293269205
WBC,87.54283682004271,69.49152861496769,18.051308205075017
WDBC,48.55171341396995,36.57090266078704,11.980810753182908
WPBC,21.18516709121616,22.987779189422845,-1.8026120982066836
Waveform,5.558163398893316,4.268833889728926,1.2893295091643902
Wilt,3.6534693922377017,4.757103743399445,-1.1036343511617432
Yelp,7.162741515941745,8.706997168630974,-1.5442556526892286
annthyroid,25.038531943327044,24.441885347738797,0.596646595588247
backdoor,53.241928229547135,52.052668763061355,1.1892594664857796
breastw,94.6442541027334,90.40863689349383,4.235617209239564
campaign,28.34273411903528,30.25945070241449,-1.916716583379209
cardio,50.97500411313914,20.208390570800567,30.766613542338575
celeba,7.781181009101674,1.8494835728985048,5.931697436203169
census,8.45688141698995,8.760564168963418,-0.3036827519734686
cover,7.417462316331417,1.3053094969816101,6.112152819349807
donors,15.615968889043193,13.422608458766856,2.1933604302763374
fault,37.72152715712364,49.043934109918105,-11.322406952794466
fraud,9.693521917818185,7.497899235658484,2.1956226821597005
glass,8.00707181141903,21.159481406463236,-13.152409595044206
http,27.611010972426755,0.4311977722934307,27.179813200133324
landsat,17.76002529587381,26.483324048278917,-8.723298752405107
letter,11.193042177211659,30.965983847282576,-19.772941670070917
magic.gamma,60.513848519535316,69.17806587677103,-8.664217357235714
mammography,21.13348329513343,11.789619997983603,9.343863297149827
mnist,38.69503657349456,37.773760525110724,0.921276048383838
musk,78.20263888986976,30.432392749454948,47.77024614041481
optdigits,2.7447427896451284,3.1819577610145107,-0.43721497136938225
pendigits,18.392472827065113,4.495705556461777,13.896767270603336
satellite,62.194324726842,52.8974772118662,9.296847514975795
satimage-2,87.32153900595438,30.592190960346176,56.729348045608205
shuttle,81.04014098677968,12.05574593401941,68.98439505276026
skin,20.507046748009863,35.22705489734177,-14.72000814933191
smtp,21.95075302402071,11.418140080523903,10.532612943496806
speech,1.5358082320962885,1.915886160919299,-0.3800779288230105
thyroid,48.77803230474198,29.841332794082472,18.936699510659505
vertebral,8.918954870031076,9.694516351887597,-0.7755614818565206
vowels,11.39060209841281,32.59565919985194,-21.205057101439127
wine,12.258560328662208,6.663390831332242,5.595169497329966
yeast,29.631994994896207,29.889828078877052,-0.25783308398084515
