dataset,PR-AUC,ROC-AUC,AP
ALOI,6.398579817388217,53.24317448075485,6.42168713752316
annthyroid,64.51631293734496,93.15811356416542,64.60450755252307
backdoor,6.954404142320008,56.54760010526463,6.969323164282801
breastw,85.85432725585432,85.65117418673903,85.90892506481245
campaign,18.588755337995483,39.52593448200382,18.603051531718904
cardio,24.43483036617617,60.984848484848484,24.70772070801232
Cardiotocography,45.59954351257382,60.7896943622651,45.75808483094795
celeba,5.861070217344446,56.066602875188856,5.870929408046929
census,11.72885328669465,50.545464666758576,11.73199435100891
cover,1.3202841192308685,35.40974152450244,1.3210782730983033
donors,34.07145974576279,85.40683530274148,34.075066969557106
fault,50.88394688707425,50.33734725158314,50.99494997736965
fraud,0.2969878227145181,44.59003834277148,0.2984019217407825
glass,25.45814987994546,78.10140237324703,28.63694994961753
Hepatitis,28.2379680515346,46.923076923076934,31.07869962836788
http,73.27024912248127,99.85627287603278,73.49523938290662
InternetAds,21.94982376426684,28.777003863525056,22.031872490579445
Ionosphere,36.976056945636884,19.686753757550214,37.31042180485992
landsat,50.49107077159653,69.02556783845118,50.56182534832951
letter,7.803790829564675,29.7288,7.937124614542087
Lymphography,23.205251075313704,52.25352112676056,25.738930267740106
magic.gamma,68.01106748485563,61.4398033493599,68.01482326550723
mammography,8.943877428415599,70.01573106498043,9.030139002136663
mnist,31.649613453526033,61.483541632180106,31.768851679309364
musk,3.135366550151893,0.263467059665905,3.167104679449119
optdigits,4.827013551927301,45.29201210685616,4.890283811406088
PageBlocks,53.16264736828447,84.65679048031988,53.26451723610285
pendigits,4.09228730319083,43.34408392719385,4.183072870086443
Pima,63.87564444159748,64.63373134328359,64.0662504229542
satellite,61.172900630146806,67.43841087694231,61.21721548257747
satimage-2,44.42369207657573,95.14394110651348,45.15900567832426
shuttle,15.305214364475065,49.2070123064536,15.328943240557006
skin,49.93942315476259,76.06454747131608,49.94054678595216
smtp,30.9684061631259,87.16604643665595,31.546875101165313
SpamBase,59.565299384471324,52.47215227569153,59.60864021865792
speech,3.0523879527154536,47.77535648730028,3.176347488350336
Stamps,26.342921216333405,63.825182101977106,27.87903234038602
thyroid,22.15644362244897,90.06007480130901,22.602887385970423
vertebral,18.39978701861221,38.52063492063492,19.550442549611848
vowels,3.967559245328668,21.186913229018494,4.114701573673455
Waveform,18.392226619493165,60.42763157894737,18.728917332160506
WBC,35.43312794757949,79.28971962616822,37.40945241093321
WDBC,5.632393599275056,46.91620111731844,6.95859170160004
Wilt,6.376731189545238,26.691566433590292,6.412139686971087
wine,18.553446618786136,53.366666666666674,21.097250660480743
WPBC,41.90109035424515,52.23404255319149,43.02177209837622
yeast,47.861423096685265,45.328670595305795,48.02183105460097
CIFAR10,8.03076995773612,41.24839695817491,8.134768159652758
FashionMNIST,6.4009794776986055,25.603644444444445,6.480331757310361
MNIST-C,6.770767993268892,26.954428684210523,6.818836631570633
MVTec-AD,33.15892600217042,37.893560714435964,33.82755044974344
SVHN,8.331041328660778,43.06492244352488,8.424134720531178
Agnews,8.179161968952886,42.68360842105263,8.23922295043425
Amazon,9.769609067001152,49.55988631578947,9.85039303780212
Imdb,9.298926875004899,49.62403789473684,9.347855124341962
Yelp,8.718589822232552,46.02668210526316,8.781198022170559
20newsgroups,9.285283795412202,46.30099466175855,9.643199626988409
