dataset,PR-AUC,ROC-AUC,AP
ALOI,3.2867127841657497,53.73270112530779,3.293386358879771
annthyroid,18.8690188075962,61.64096184899389,18.97160607157405
backdoor,47.80779922941959,86.7797831456576,47.83711051780296
breastw,49.61556135662477,72.26902634852426,49.88234085956467
campaign,16.987393139718403,59.04640484596543,17.00700111402118
cardio,35.07255233889089,79.97363361713815,35.41496797755431
Cardiotocography,38.33264194635199,63.9162308846202,38.43737978409821
celeba,6.376571424207259,70.20933742907513,6.388765661774514
census,7.540844316424737,59.45251419083787,7.542770010303999
cover,1.8564000768888933,67.91476217889695,1.861172832550508
donors,9.747485828538002,65.1254627116657,9.749173230157067
fault,29.23955864913463,43.37351938914695,29.307677099122493
fraud,5.26177059544986,88.71015051295018,5.349755156516413
glass,6.506520565353381,65.71273712737128,7.602489682710985
Hepatitis,34.0291515862644,65.35017221584386,36.47803540899987
http,17.257912687594985,97.3406078824573,17.326552565273357
InternetAds,19.801476098121608,52.63301273330795,19.942433278288014
Ionosphere,33.77546922904876,51.7058201058201,34.26231599723564
landsat,18.830850281414957,48.00407177450968,18.862602658458087
letter,4.525157680525684,36.8012,4.640012296100336
Lymphography,11.618916252821904,74.4131455399061,13.845957299576634
magic.gamma,44.66092051238255,57.69947265894775,44.66890073913422
mammography,8.12469607229909,73.69159289854153,8.330211105076982
mnist,19.902067318024677,64.58514931396287,19.966187526181198
musk,4.553678583785024,53.56687122963787,4.830373846630078
optdigits,2.757882028923268,50.2226608764311,2.7933081454253856
PageBlocks,27.803813450936055,78.00619195046438,27.961052502158108
pendigits,4.261711660206205,66.96537277636473,4.397153663817274
Pima,35.567447484705085,51.02417910447762,35.84074464834496
satellite,40.31056953419155,58.73203232919073,40.34260726905596
satimage-2,4.3419135414331675,85.64235377372398,4.510777543683333
shuttle,64.42067603800876,94.57701833560233,64.44727563311817
skin,16.001313021918072,39.6995898287076,16.00197664111805
smtp,0.26705518096860503,76.22984252465152,0.28998585318453585
SpamBase,39.44204283736287,50.42356812750206,39.49505064777655
speech,1.3673898128581297,43.95378179762577,1.411954213408064
Stamps,18.833196254187204,75.07046664578765,19.863240354189767
thyroid,30.54866251187039,87.21911926744937,31.16448307396332
vertebral,10.076950559061979,40.8063492063492,10.62784094139906
vowels,2.4568926602428305,37.06941678520626,2.5270070509853806
Waveform,3.934459572750807,57.145049356865094,4.0839459948097145
WBC,45.554502150412475,93.86854460093896,47.9152635406744
WDBC,25.98991843557174,88.6890756302521,28.60748481393446
Wilt,4.3108310244821935,42.502179227146264,4.342171127038781
wine,23.84087278852129,70.78991596638656,26.331566004178992
WPBC,23.16542703167596,49.50824291954346,24.0628695591376
yeast,32.695613061086064,48.20896396205427,32.84528661638142
CIFAR10,6.042520277822348,55.98622357414449,6.134894821941421
FashionMNIST,10.865035421971134,68.58084656084657,10.986919709209793
MNIST-C,6.755745644332825,59.29713447368421,6.817633002176771
MVTec-AD,38.185629048501625,64.12528563244925,38.80632921476802
SVHN,5.568032255090314,52.88955178002519,5.639328439098308
Agnews,5.1910032976622835,51.671604210526326,5.23174527380475
Amazon,5.235996906906328,51.77423157894737,5.282665626156622
Imdb,4.831059985305326,49.01699999999999,4.865467161762706
Yelp,5.449554327909064,53.36036421052632,5.484454774023524
20newsgroups,5.322178672121678,51.65801877270497,5.5859043690103025
