dataset,PR-AUC,ROC-AUC,AP
ALOI,4.064935338063756,55.981175813145434,4.082464207976541
annthyroid,24.63493888390527,70.15504640351675,24.696849990537938
backdoor,52.5654024471392,90.9408767896139,52.59360259838136
breastw,95.1823608796676,96.97123902144821,95.19325154322547
campaign,30.134219361855287,75.96006780643687,30.15529114545434
cardio,51.67455646116077,91.07690195001373,51.88572352896455
Cardiotocography,42.410224928370326,69.26543814325596,42.49648937634496
celeba,7.687663041165899,76.0979757773638,7.7023280649229555
census,8.445782363809583,65.27819455028894,8.448467913124034
cover,7.457758735446926,92.837844184725,7.466049246375367
donors,15.59659399322869,79.72897607006603,15.599380722353102
fault,48.694602225541246,68.12016911892229,48.84667522811112
fraud,8.459745587945694,92.17764434243539,8.530048682572215
glass,19.738931642743328,87.3170731707317,21.655222224106215
Hepatitis,32.69607437367771,73.01951779563721,36.02070356750205
http,27.9239698791652,99.54982088296248,28.048040388153034
InternetAds,31.106016782096845,69.89660989280078,31.322252210813605
Ionosphere,87.71813198435999,93.40881834215168,87.78885564984351
landsat,26.522092678365887,60.93352767827393,26.572953958772327
letter,30.551952444871134,84.54586666666668,30.887326028560313
Lymphography,89.12896825396824,99.5774647887324,90.18253968253967
magic.gamma,69.01707456795421,77.23579077441968,69.02152104394372
mammography,20.887822461099592,86.61702899316192,21.000329168697927
mnist,38.746286932207106,85.09431510109475,38.85071605558612
musk,74.33387213888774,98.3393890926792,74.44387892442063
optdigits,2.9686741546866466,54.076681142255566,3.01045172965455
PageBlocks,52.26212620532065,91.10178570711511,52.328002688604855
pendigits,18.280898969315203,91.67368415022571,18.593720835191245
Pima,48.26977385188836,68.01126865671642,48.52815166778954
satellite,63.68321297983985,66.12123401862631,63.690054004132676
satimage-2,87.76870454197743,99.13060357960744,87.81983325634751
shuttle,80.69667515459615,99.0318397883154,80.7219345519803
skin,35.046738555490926,79.08642592081347,35.047482219033455
smtp,23.33630194978406,83.07437153529705,25.24970426685912
SpamBase,42.58172810903864,57.77856912643904,42.63483791023532
speech,1.6451031858580984,49.03561334087055,1.755347689873994
Stamps,32.70946433125463,89.95093433552563,34.455647189850374
thyroid,49.60978369920387,96.60835839566036,49.831307696805915
vertebral,9.451018311673046,37.93650793650794,9.945711517887903
vowels,36.42778017124654,93.00540540540541,37.370775735140995
Waveform,5.366030508204998,65.87556087346694,5.511581221083948
WBC,85.03432251013521,99.09859154929578,85.70461368696662
WDBC,44.954353714334125,97.74229691876751,48.66047322779236
Wilt,3.673788006025901,34.31940731845033,3.6952503763692057
wine,6.770736412305611,42.621848739495796,7.864348082084807
WPBC,23.762576166869128,51.23573340848247,24.768593824555264
yeast,33.21424279440986,48.60158396572852,33.36744370224648
CIFAR10,7.240900653762202,59.431200000000004,7.340971494163771
FashionMNIST,31.37392101959798,85.35427619047621,31.538553574559437
MNIST-C,19.769926670294367,79.2408102631579,19.884941285627292
MVTec-AD,48.64115954645929,70.86975017424058,49.16342042266118
SVHN,6.723692221991126,57.27529874986814,6.80902546490018
Agnews,8.891560284034666,66.27821105263159,8.971675777608976
Amazon,6.460032400893287,60.884050526315804,6.507699517156043
Imdb,4.6621433215705235,48.91987368421052,4.688448578001532
Yelp,7.763585170808088,64.06490947368422,7.829545521998353
20newsgroups,7.077131699591345,56.96191442983222,7.410326432685506
