dataset,ada,ddae,delta
20newsgroups,7.077131699591344,8.644619779904712,-1.5674880803133684
ALOI,4.064935338063757,4.391205337542563,-0.3262699994788063
Agnews,8.891560284034666,10.881346682520274,-1.9897863984856077
Amazon,6.4600324008932875,6.302591342347143,0.15744105854614432
CIFAR10,7.240900653762202,9.578126815909977,-2.3372261621477755
Cardiotocography,42.410224928370326,24.952943916563505,17.45728101180682
FashionMNIST,31.37392101959797,31.322175379416855,0.05174564018111383
Hepatitis,32.69607437367771,17.740165649782874,14.955908723894836
Imdb,4.6621433215705235,4.535234969541837,0.12690835202868644
InternetAds,31.106016782096845,30.746059311816726,0.3599574702801185
Ionosphere,87.71813198435999,88.38497907475112,-0.6668470903911299
Lymphography,89.12896825396825,48.668382129913816,40.46058612405444
MNIST-C,19.769926670294367,19.812803190573,-0.04287652027863231
MVTec-AD,48.64115954645929,48.85333878357538,-0.21217923711608933
PageBlocks,52.262126205320655,51.14626032045013,1.115865884870523
Pima,48.26977385188835,49.84713514323345,-1.577361291345099
SVHN,6.7236922219911275,8.114933098455102,-1.391240876463975
SpamBase,42.58172810903865,42.48011788880699,0.1016102202316631
Stamps,32.70946433125463,29.903797939136023,2.8056663921186065
WBC,85.0343225101352,69.49152861496769,15.542793895167506
WDBC,44.95435371433412,36.57090266078704,8.383451053547077
WPBC,23.762576166869128,22.987779189422845,0.7747969774462824
Waveform,5.366030508204998,4.268833889728926,1.0971966184760724
Wilt,3.6737880060259016,4.757103743399445,-1.0833157373735434
Yelp,7.763585170808088,8.706997168630974,-0.9434119978228859
annthyroid,24.63493888390527,24.441885347738797,0.1930535361664738
backdoor,52.56540244713919,52.052668763061355,0.5127336840778369
breastw,95.18236087966761,90.40863689349383,4.773723986173778
campaign,30.13421936185528,30.25945070241449,-0.12523134055921048
cardio,51.67455646116075,20.208390570800567,31.46616589036018
celeba,7.6876630411659,1.8494835728985048,5.838179468267395
census,8.445782363809583,8.760564168963418,-0.31478180515383514
cover,7.457758735446926,1.3053094969816101,6.152449238465316
donors,15.59659399322869,13.422608458766856,2.173985534461835
fault,48.694602225541246,49.043934109918105,-0.34933188437685914
fraud,8.459745587945694,7.497899235658484,0.9618463522872096
glass,19.738931642743328,21.159481406463236,-1.420549763719908
http,27.923969879165202,0.4311977722934307,27.492772106871772
landsat,26.522092678365887,26.483324048278917,0.03876863008697029
letter,30.55195244487113,30.965983847282576,-0.414031402411446
magic.gamma,69.01707456795421,69.17806587677103,-0.16099130881681845
mammography,20.887822461099592,11.789619997983603,9.098202463115989
mnist,38.746286932207106,37.773760525110724,0.9725264070963817
musk,74.33387213888773,30.432392749454948,43.90147938943278
optdigits,2.968674154686647,3.1819577610145107,-0.21328360632786358
pendigits,18.280898969315206,4.495705556461777,13.78519341285343
satellite,63.683212979839844,52.8974772118662,10.785735767973641
satimage-2,87.76870454197743,30.592190960346176,57.176513581631255
shuttle,80.69667515459614,12.05574593401941,68.64092922057672
skin,35.046738555490926,35.22705489734177,-0.18031634185084755
smtp,23.336301949784055,11.418140080523903,11.918161869260151
speech,1.6451031858580987,1.915886160919299,-0.2707829750612003
thyroid,49.609783699203874,29.841332794082472,19.7684509051214
vertebral,9.451018311673044,9.694516351887597,-0.24349804021455235
vowels,36.42778017124654,32.59565919985194,3.832120971394602
wine,6.770736412305612,6.663390831332242,0.10734558097337032
yeast,33.214242794409856,29.889828078877052,3.3244147155328037
