dataset,PR-AUC,ROC-AUC,AP
ALOI,11.05630679657379,58.61230615467904,10.356050505048772
annthyroid,73.65655800189232,93.69951601901765,73.73825131532611
backdoor,66.06891408369458,94.94305775241578,66.10289721879809
breastw,99.00820418437752,99.05424252704587,99.01060961860445
campaign,51.27645826355766,79.33665847558053,51.29660489707983
cardio,82.20633487811038,94.33423913043478,82.2767612967325
Cardiotocography,69.610169094957,75.60294178924121,69.64444638136086
celeba,14.295386753337164,79.36978370782933,12.174340670808936
census,22.01424794901742,71.99032556584551,22.018767582521935
cover,77.67505427679689,98.34280033457539,77.69640665357113
donors,96.32011955689008,99.77710405725733,96.32248609887695
fault,77.86260983271409,79.90315973019719,77.97175028116638
fraud,67.58876856258051,95.84652903096371,67.63095097210649
glass,37.892487790133565,89.75188781014025,38.40414357430759
Hepatitis,63.76126115899059,83.12217194570137,65.75417965009098
http,99.57117203131615,99.99879552116614,99.57883110462762
InternetAds,80.38920184260967,85.90894868585733,80.42409777774013
Ionosphere,97.47603500411806,96.78325607529146,97.48510014072083
landsat,54.918552563615805,71.27139585758847,54.986197497772906
letter,72.7179411450439,95.47333333333331,72.93513721065736
Lymphography,87.76322751322752,99.10798122065728,89.12698412698411
magic.gamma,89.00607389907111,86.58209153996216,89.00707387308297
mammography,48.653493339609874,89.25137312339801,48.82804335649496
mnist,78.42972834560928,95.03370302929979,78.46340583554226
musk,99.99999999999997,100.0,99.99999999999997
optdigits,40.11238125351652,96.01721279115672,34.16634198537885
PageBlocks,86.9195323362231,96.51706251706251,86.93629915936292
pendigits,87.88675516282018,99.61446804610344,88.0649426933718
Pima,71.45285276039701,72.58059701492536,71.59793544746414
satellite,88.077110979178,84.84672709412395,88.07952639571475
satimage-2,96.33268650649225,99.86269325653853,96.35365789062365
shuttle,98.70243545317834,99.94510974234035,98.706587341547
skin,80.69224277644041,95.39806956658046,80.69346857115092
smtp,62.61032625657715,93.02499842314404,62.765842205279576
SpamBase,89.59025815470986,86.42816889197157,89.59601086597154
speech,5.064483035647771,54.33237184993626,5.313376468978303
Stamps,58.107982500316844,93.14047866805412,59.815735668319256
thyroid,84.05959446134614,98.93641888733052,84.17461994707325
vertebral,32.17176464485589,64.31746031746032,29.28988317045934
vowels,90.42908138825455,98.87453769559032,90.51259934244153
Waveform,20.28700286716069,77.55125598086124,21.307885756977182
WBC,93.14836829836828,99.0841121495327,93.40391363022943
WDBC,79.9611888111888,99.15083798882682,81.94286824286824
Wilt,55.276741868553636,91.87157656635684,15.668991901901585
wine,88.63308537867361,97.86666666666666,89.21501276501276
WPBC,39.44870659472785,55.414333706606946,40.868730410014564
yeast,51.83552500836163,49.92630776491088,51.973760378561686
CIFAR10,25.199675821180413,74.74095817490495,20.818403513531354
FashionMNIST,60.98619185875985,90.9735238095238,61.13497512104379
MNIST-C,48.775087344963175,86.43213368421053,48.89735550052411
MVTec-AD,71.33117022454894,79.56293263801732,71.6388295214838
SVHN,16.175594077268993,64.8285243455009,15.90658407937168
Agnews,23.54374509108807,75.84039684210526,23.671483702745395
Amazon,12.59270853453196,63.20627789473683,12.602815589192174
Imdb,9.845002181789475,52.66269052631579,9.218679062536822
Yelp,17.664385381922017,68.53749473684209,17.32863584045287
20newsgroups,28.7076097353743,79.59517321915143,18.676618207964204
