step,PR-AUC,ROC-AUC,delta_PR_vs_ddae,setting_group
ddae_repro,29.27832470539137,71.42864411277888,0.0,semi
adadae_fixed,29.228404415939536,71.32760072368983,-0.0499202894518324,semi
ftp,29.09350160388885,70.83821390782259,-0.1848231015025181,semi
lfdanc,27.989282554058576,70.82474388615319,-1.289042151332792,semi
ssts,26.996930761898756,71.03201195621261,-2.281393943492616,semi
taps,25.146671290649376,68.85723386654855,-4.131653414741993,semi
vus,10.576678523598238,55.82034123676384,-18.70164618179313,semi
ddae_repro,13.83343313700126,67.78848720248914,0.0,unsup
adadae_fixed,13.82696959292326,67.57778393020959,-0.0064635440780003,unsup
ftp,12.423036390296502,66.7003642741752,-1.410396746704759,unsup
lfdanc,17.15843065268034,68.35649332968097,3.324997515679082,unsup
ssts,17.575897797553825,68.26054991996348,3.742464660552564,unsup
taps,17.332068787229428,68.24135265880265,3.4986356502281684,unsup
vus,14.499824066461493,61.25821303245339,0.666390929460231,unsup
