dataset,PR-AUC,ROC-AUC,AP
ALOI,3.5552118805580033,55.61475915289474,3.5730499422420485
annthyroid,28.024765161784828,72.28099495342792,28.114712989924545
backdoor,59.06815086750286,89.52041464101534,59.09088521133763
breastw,95.57098088066014,97.60262354404615,95.5841693283119
campaign,30.56133746217829,76.46451059400393,30.825628449189857
cardio,53.632048508957695,90.57937379840702,53.824333628954136
Cardiotocography,41.05538008786234,67.36179111629652,41.14817359974109
celeba,6.933728785554178,75.50172801183372,6.944511469428935
census,8.717019468917119,65.96231507222312,8.71949424581484
cover,8.91485396394049,93.87375963430411,8.924885707628905
donors,15.915929172713103,80.39779139133894,15.91877493997093
fault,54.82088787647588,72.93888657126384,54.959963928797016
fraud,25.680561146589003,95.20968576734641,25.792874975676405
glass,26.497946893433127,90.449864498645,28.850587556225086
Hepatitis,33.537671619569785,76.28013777267509,36.87368765021938
http,23.72331456640387,99.39968957399886,23.81352737670678
InternetAds,32.85787263700398,72.23346438482888,32.98635344078428
Ionosphere,93.07171567084707,95.79541446208113,93.10210220908533
landsat,26.261900862294006,61.66103315323145,26.301712929890154
letter,45.96805202260803,90.01493333333332,46.292659996581385
Lymphography,91.8941798941799,99.62441314553992,92.56349206349206
magic.gamma,70.9234675375082,77.71951256950835,70.92674844071185
mammography,23.444144816095015,87.82154451791915,23.568625703151984
mnist,40.32790533565168,86.80277519091078,40.439348881442314
musk,97.93660990731878,99.8644668903531,97.94415671066797
optdigits,2.885151866001745,54.76375838926174,2.91437556974585
PageBlocks,55.71140791181899,92.19473724365847,54.28835541869248
pendigits,23.62188496541818,92.96842418826333,23.985453910191055
Pima,51.438822537160675,69.8217910447761,51.689112737223084
satellite,67.39735186260364,68.16070561669892,67.40259083655283
satimage-2,87.44883427242108,99.4493478666837,87.51260678327824
shuttle,79.9784634260886,99.13021123088616,80.00487122597276
skin,35.55201204196998,79.60973278992753,35.55276413373608
smtp,56.66256240904415,84.8468347244707,56.85434799495553
SpamBase,42.404082720129225,57.441894380319816,43.09147504305212
speech,3.6562090114340617,66.7007348784624,3.8408812413046314
Stamps,33.71020028289038,90.6566447437102,35.45927512070284
thyroid,53.56034134958869,96.65342674347575,53.89810485972441
vertebral,11.68400196268486,49.360317460317454,12.413714442917554
vowels,50.96605212002784,96.05917496443811,51.588018294316306
Waveform,5.98165921494518,68.18540233323363,6.207405100663739
WBC,92.0917578035999,99.35211267605635,92.34536574536574
WDBC,56.83336661449084,97.92156862745098,58.92119212929805
Wilt,5.132189485552503,51.359812151472916,5.164947531986388
wine,31.6350485169472,67.89915966386555,33.95213113016155
WPBC,26.72366747988038,55.03170353670564,27.66217421067612
yeast,31.892658455438234,46.8020890743511,30.94770078310414
CIFAR10,10.506359569868307,66.25344486692015,10.659692837194353
FashionMNIST,33.04805073175479,86.24659259259259,33.219447197077926
MNIST-C,19.261275043132958,79.71559552631578,19.370732132586312
MVTec-AD,93.38900737935909,96.756082345602,58.40882973757172
SVHN,8.034712526150555,60.48056909758902,8.145744222097202
Agnews,11.140807211739467,71.3663547368421,11.226473691749133
Amazon,6.431688831395084,61.66579578947369,6.468698277254855
Imdb,5.397628633605006,51.59662315789474,4.835110686636501
Yelp,9.130681941078592,68.45611368421054,9.190696780855715
20newsgroups,14.3687688077968,78.3677766375314,10.262385145918262
