name,category,n,d,contam_true,contam_lf,idim,skew,nnz,cluster_sep,n_files,regime_tags
ALOI,classical,49534,27,0.030444,0.050000,3.7811,20.7390,0.5787,1.4705,1,skew
annthyroid,classical,7200,6,0.074167,0.049200,1.5092,3.8950,0.9985,1.3596,1,mid
backdoor,classical,95329,196,0.024431,0.010000,7.2313,86.6091,0.1430,1.2086,1,"huge,highd,sparse,skew"
breastw,classical,683,9,0.349927,0.010000,3.4039,1.4637,1.0000,2.3782,1,"heavy,multi"
campaign,classical,41188,62,0.112654,0.010000,24.2519,6.0257,0.2948,0.6076,1,"sparse,skew"
cardio,classical,1831,21,0.096122,0.049700,11.1831,2.2744,1.0000,0.8977,1,mid
Cardiotocography,classical,2114,21,0.220435,0.049669,4.8301,2.4702,0.7261,0.8477,1,heavy
celeba,classical,202599,39,0.022443,0.010000,21.0070,2.1000,0.7689,0.7354,1,huge
census,classical,299285,500,0.062041,0.010000,15.7409,23.4513,0.0684,0.5596,1,"huge,highd,sparse,skew"
cover,classical,286048,10,0.009603,0.049800,2.0737,0.9124,0.9898,1.0605,1,"huge,rare"
donors,classical,619326,10,0.059274,0.010000,5.9646,3.0383,0.5419,0.9781,1,huge
fault,classical,1941,27,0.346728,0.010000,10.3765,3.9008,1.0000,1.3284,1,heavy
fraud,classical,284807,29,0.001727,0.049600,14.2908,2.7867,0.9997,0.3669,1,"huge,rare"
glass,classical,214,7,0.042056,0.018692,3.4712,1.8552,0.9486,1.2174,1,tiny
Hepatitis,classical,80,19,0.162500,0.010000,2.3452,1.1779,0.9993,1.0577,1,tiny
http,classical,567498,3,0.003896,0.050000,1.9837,6.1489,1.0000,0.9099,1,"huge,rare,skew"
InternetAds,classical,1966,1555,0.187182,0.010000,23.0536,15.4583,0.0091,1.1901,1,"highd,sparse,skew"
Ionosphere,classical,351,32,0.358974,0.051282,14.1516,0.5531,0.9427,1.0654,1,heavy
