dataset,setting,policy,PR-AUC,ROC-AUC,n_seeds,category,paper_PR,delta_PR_vs_paper,beats_paper
20newsgroups,semi-supervised,backup_baseline,18.07577496252367,66.41994560560688,5,nlp,61.36,-43.28422503747633,False
20newsgroups,unsupervised,backup_baseline,9.549126969928441,65.129169657445,5,nlp,32.77,-23.220873030071562,False
ALOI,semi-supervised,backup_baseline,10.31303190573004,57.90931879184363,5,classical,61.36,-51.04696809426996,False
ALOI,unsupervised,backup_baseline,3.605372246229723,55.810658097332556,5,classical,32.77,-29.16462775377028,False
Agnews,semi-supervised,backup_baseline,23.54374509108807,75.84039684210526,5,nlp,61.36,-37.81625490891193,False
Agnews,unsupervised,backup_baseline,11.049471215431309,71.57816368421052,5,nlp,32.77,-21.720528784568693,False
Amazon,semi-supervised,backup_baseline,12.53577216636055,63.08397473684211,5,nlp,61.36,-48.82422783363945,False
Amazon,unsupervised,backup_baseline,6.360073457678856,61.50578736842105,5,nlp,32.77,-26.40992654232115,False
CIFAR10,semi-supervised,semi_cvnlp,20.487834708805842,68.63763346007605,5,cv,61.36,-40.87216529119416,False
CIFAR10,unsupervised,backup_baseline,10.792470445363964,67.48717642585551,5,cv,32.77,-21.97752955463604,False
Cardiotocography,semi-supervised,backup_baseline,69.610169094957,75.60294178924121,5,classical,61.36,8.250169094957002,True
Cardiotocography,unsupervised,unsup_ssts,41.05538008786234,67.36179111629652,5,classical,32.77,8.285380087862336,True
FashionMNIST,semi-supervised,semi_cvnlp,61.107217349687026,90.27982857142857,5,cv,61.36,-0.2527826503129731,False
FashionMNIST,unsupervised,unsup_ssts,33.04805073175479,86.24659259259259,5,cv,32.77,0.27805073175478867,True
Hepatitis,semi-supervised,backup_baseline,63.76126115899058,83.12217194570135,5,classical,61.36,2.401261158990579,True
Hepatitis,unsupervised,unsup_ssts,33.537671619569785,76.28013777267509,5,classical,32.77,0.7676716195697821,True
Imdb,semi-supervised,semi_cvnlp,9.508569046542087,52.24119157894737,5,nlp,61.36,-51.851430953457914,False
Imdb,unsupervised,unsup_ssts,4.789123707329378,50.029804210526315,5,nlp,32.77,-27.980876292670626,False
InternetAds,semi-supervised,backup_baseline,80.38920184260967,85.90894868585733,5,classical,61.36,19.029201842609666,True
InternetAds,unsupervised,backup_baseline,32.85787263700398,72.23346438482886,5,classical,32.77,0.08787263700397574,True
Ionosphere,semi-supervised,backup_baseline,97.47603500411806,96.78325607529148,5,classical,61.36,36.11603500411806,True
Ionosphere,unsupervised,backup_baseline,93.07171567084707,95.79541446208114,5,classical,32.77,60.30171567084707,True
Lymphography,semi-supervised,backup_baseline,87.7632275132275,99.10798122065728,5,classical,61.36,26.403227513227506,True
Lymphography,unsupervised,unsup_ssts,91.89417989417989,99.6244131455399,5,classical,32.77,59.12417989417988,True
MNIST-C,semi-supervised,semi_cvnlp,48.79181258578818,84.747865,5,cv,61.36,-12.56818741421182,False
MNIST-C,unsupervised,backup_baseline,19.26127504313296,79.7155955263158,5,cv,32.77,-13.508724956867042,False
MVTec-AD,semi-supervised,backup_baseline,71.33117022454894,79.56293263801732,5,cv,61.36,9.971170224548942,True
MVTec-AD,unsupervised,backup_baseline,58.06002374574861,77.96023983250595,5,cv,32.77,25.290023745748606,True
PageBlocks,semi-supervised,backup_baseline,86.91953233622311,96.51706251706251,5,classical,61.36,25.559532336223114,True
PageBlocks,unsupervised,backup_baseline,54.23666918248681,90.15562596121799,5,classical,32.77,21.466669182486804,True
Pima,semi-supervised,backup_baseline,71.45285276039701,72.58059701492537,5,classical,61.36,10.092852760397008,True
Pima,unsupervised,backup_baseline,51.43882253716068,69.82179104477612,5,classical,32.77,18.66882253716068,True
SVHN,semi-supervised,backup_baseline,15.736872569546003,63.054711448584655,5,cv,61.36,-45.623127430454,False
SVHN,unsupervised,backup_baseline,8.407512339612492,62.355457265021094,5,cv,32.77,-24.36248766038751,False
SpamBase,semi-supervised,backup_baseline,89.59025815470984,86.42816889197157,5,classical,61.36,28.230258154709844,True
SpamBase,unsupervised,backup_baseline,43.035898664134834,58.12300683800635,5,classical,32.77,10.26589866413483,True
Stamps,semi-supervised,backup_baseline,58.10798250031685,93.14047866805412,5,classical,61.36,-3.2520174996831486,False
Stamps,unsupervised,unsup_ssts,33.71020028289038,90.65664474371019,5,classical,32.77,0.9402002828903804,True
WBC,semi-supervised,backup_baseline,93.1483682983683,99.08411214953271,5,classical,61.36,31.788368298368297,True
WBC,unsupervised,unsup_ssts,92.0917578035999,99.35211267605634,5,classical,32.77,59.3217578035999,True
WDBC,semi-supervised,backup_baseline,79.9611888111888,99.15083798882681,5,classical,61.36,18.601188811188806,True
WDBC,unsupervised,unsup_ssts,56.833366614490856,97.92156862745098,5,classical,32.77,24.063366614490853,True
WPBC,semi-supervised,backup_baseline,39.52747702907332,54.75923852183651,5,classical,61.36,-21.832522970926682,False
WPBC,unsupervised,backup_baseline,26.723667479880383,55.03170353670565,5,classical,32.77,-6.04633252011962,False
Waveform,semi-supervised,backup_baseline,20.69499314127618,77.52822966507178,5,classical,61.36,-40.66500685872382,False
Waveform,unsupervised,unsup_ssts,5.98165921494518,68.18540233323361,5,classical,32.77,-26.78834078505482,False
Wilt,semi-supervised,backup_baseline,15.575908052442283,69.4135618721395,5,classical,61.36,-45.78409194755771,False
Wilt,unsupervised,backup_baseline,5.132189485552502,51.35981215147292,5,classical,32.77,-27.6378105144475,False
Yelp,semi-supervised,semi_cvnlp,17.509284397869333,68.78405052631578,5,nlp,61.36,-43.85071560213066,False
Yelp,unsupervised,backup_baseline,8.745418557954903,68.08255157894737,5,nlp,32.77,-24.0245814420451,False
annthyroid,semi-supervised,backup_baseline,73.65655800189232,93.69951601901764,5,classical,61.36,12.296558001892322,True
annthyroid,unsupervised,unsup_ssts,28.024765161784824,72.28099495342794,5,classical,32.77,-4.745234838215179,False
backdoor,semi-supervised,backup_baseline,66.06891408369458,94.94305775241578,5,classical,61.36,4.70891408369458,True
backdoor,unsupervised,backup_baseline,59.068150867502865,89.52041464101535,5,classical,32.77,26.298150867502862,True
breastw,semi-supervised,backup_baseline,99.00820418437752,99.05424252704587,5,classical,61.36,37.64820418437752,True
breastw,unsupervised,unsup_ssts,95.57098088066016,97.60262354404614,5,classical,32.77,62.800980880660155,True
campaign,semi-supervised,backup_baseline,51.276458263557664,79.33665847558055,5,classical,61.36,-10.083541736442335,False
campaign,unsupervised,backup_baseline,30.803590265723802,76.83634240564132,5,classical,32.77,-1.9664097342762012,False
cardio,semi-supervised,backup_baseline,82.20633487811037,94.33423913043478,5,classical,61.36,20.84633487811037,True
cardio,unsupervised,unsup_ssts,53.6320485089577,90.57937379840703,5,classical,32.77,20.8620485089577,True
celeba,semi-supervised,backup_baseline,12.157839617744525,76.7769439415784,5,classical,61.36,-49.20216038225547,False
celeba,unsupervised,unsup_ssts,6.933728785554178,75.5017280118337,5,classical,32.77,-25.836271214445826,False
census,semi-supervised,backup_baseline,22.01424794901742,71.99032556584551,5,classical,61.36,-39.34575205098258,False
census,unsupervised,backup_baseline,8.82053906249609,66.08247182278085,5,classical,32.77,-23.949460937503915,False
cover,semi-supervised,backup_baseline,77.67505427679689,98.34280033457539,5,classical,61.36,16.315054276796886,True
cover,unsupervised,unsup_ssts,8.91485396394049,93.87375963430411,5,classical,32.77,-23.855146036059516,False
donors,semi-supervised,backup_baseline,96.32011955689009,99.77710405725735,5,classical,61.36,34.96011955689009,True
donors,unsupervised,unsup_ssts,15.915929172713103,80.39779139133896,5,classical,32.77,-16.8540708272869,False
fault,semi-supervised,backup_baseline,77.86260983271407,79.90315973019719,5,classical,61.36,16.50260983271407,True
fault,unsupervised,backup_baseline,54.820887876475865,72.93888657126385,5,classical,32.77,22.050887876475862,True
fraud,semi-supervised,backup_baseline,67.58876856258053,95.84652903096371,5,classical,61.36,6.228768562580527,True
fraud,unsupervised,backup_baseline,25.680561146589003,95.2096857673464,5,classical,32.77,-7.089438853411,False
glass,semi-supervised,backup_baseline,35.641468266941914,89.08306364617044,5,classical,61.36,-25.718531733058086,False
glass,unsupervised,backup_baseline,26.497946893433124,90.44986449864498,5,classical,32.77,-6.272053106566879,False
http,semi-supervised,backup_baseline,99.57117203131615,99.99879552116616,5,classical,61.36,38.21117203131615,True
http,unsupervised,unsup_ssts,23.72331456640387,99.39968957399887,5,classical,32.77,-9.046685433596132,False
landsat,semi-supervised,backup_baseline,54.91855256361581,71.27139585758846,5,classical,61.36,-6.441447436384188,False
landsat,unsupervised,backup_baseline,26.26190086229401,61.66103315323146,5,classical,32.77,-6.508099137705994,False
letter,semi-supervised,backup_baseline,72.71794114504391,95.47333333333333,5,classical,61.36,11.35794114504391,True
letter,unsupervised,backup_baseline,42.41279962033965,90.44120000000001,5,classical,32.77,9.642799620339645,True
magic.gamma,semi-supervised,backup_baseline,89.00607389907111,86.58209153996216,5,classical,61.36,27.646073899071112,True
magic.gamma,unsupervised,backup_baseline,70.92346753750819,77.71951256950835,5,classical,32.77,38.153467537508185,True
mammography,semi-supervised,backup_baseline,48.65349333960987,89.25137312339803,5,classical,61.36,-12.706506660390133,False
mammography,unsupervised,unsup_ssts,23.444144816095015,87.82154451791914,5,classical,32.77,-9.325855183904988,False
mnist,semi-supervised,backup_baseline,78.42972834560928,95.03370302929979,5,classical,61.36,17.069728345609278,True
mnist,unsupervised,unsup_ssts,40.327905335651685,86.80277519091078,5,classical,32.77,7.557905335651682,True
musk,semi-supervised,backup_baseline,99.99999999999999,100.0,5,classical,61.36,38.639999999999986,True
musk,unsupervised,unsup_ssts,97.93660990731877,99.86446689035309,5,classical,32.77,65.16660990731876,True
optdigits,semi-supervised,backup_baseline,33.933636420113665,94.95744176865377,5,classical,61.36,-27.426363579886335,False
optdigits,unsupervised,backup_baseline,3.0453584584873763,54.75986313988683,5,classical,32.77,-29.724641541512625,False
pendigits,semi-supervised,backup_baseline,87.88675516282017,99.61446804610344,5,classical,61.36,26.526755162820166,True
pendigits,unsupervised,unsup_ssts,23.62188496541818,92.96842418826333,5,classical,32.77,-9.148115034581824,False
satellite,semi-supervised,backup_baseline,88.07711097917802,84.84672709412395,5,classical,61.36,26.717110979178017,True
satellite,unsupervised,unsup_ssts,67.39735186260364,68.16070561669892,5,classical,32.77,34.62735186260364,True
satimage-2,semi-supervised,backup_baseline,96.33268650649225,99.86269325653853,5,classical,61.36,34.97268650649225,True
satimage-2,unsupervised,unsup_ssts,87.4488342724211,99.44934786668371,5,classical,32.77,54.67883427242109,True
shuttle,semi-supervised,backup_baseline,98.70243545317832,99.94510974234034,5,classical,61.36,37.342435453178325,True
shuttle,unsupervised,unsup_ssts,79.9784634260886,99.13021123088615,5,classical,32.77,47.20846342608859,True
skin,semi-supervised,backup_baseline,80.69224277644041,95.39806956658046,5,classical,61.36,19.33224277644041,True
skin,unsupervised,backup_baseline,34.8284091573891,79.02321354487631,5,classical,32.77,2.0584091573891,True
smtp,semi-supervised,backup_baseline,62.61032625657715,93.02499842314404,5,classical,61.36,1.2503262565771536,True
smtp,unsupervised,unsup_ssts,56.66256240904414,84.84683472447071,5,classical,32.77,23.89256240904414,True
speech,semi-supervised,backup_baseline,4.797619112526358,55.335328637436376,5,classical,61.36,-56.562380887473644,False
speech,unsupervised,backup_baseline,3.658571709648025,66.67237987563594,5,classical,32.77,-29.111428290351977,False
thyroid,semi-supervised,backup_baseline,84.05959446134615,98.93641888733053,5,classical,61.36,22.69959446134615,True
thyroid,unsupervised,unsup_ssts,53.56034134958869,96.65342674347576,5,classical,32.77,20.790341349588687,True
vertebral,semi-supervised,backup_baseline,27.973558664171588,62.596825396825395,5,classical,61.36,-33.38644133582841,False
vertebral,unsupervised,backup_baseline,11.68400196268486,49.36031746031746,5,classical,32.77,-21.085998037315143,False
vowels,semi-supervised,backup_baseline,90.42908138825456,98.87453769559033,5,classical,61.36,29.06908138825456,True
vowels,unsupervised,backup_baseline,50.96605212002784,96.05917496443813,5,classical,32.77,18.196052120027836,True
wine,semi-supervised,backup_baseline,88.63308537867361,97.86666666666667,5,classical,61.36,27.273085378673613,True
wine,unsupervised,backup_baseline,26.31959215378573,78.63865546218487,5,classical,32.77,-6.450407846214272,False
yeast,semi-supervised,backup_baseline,51.83552500836163,49.92630776491088,5,classical,61.36,-9.524474991638371,False
yeast,unsupervised,backup_baseline,30.821876329617783,43.97362210526528,5,classical,32.77,-1.9481236703822198,False
