dataset,setting,candidate,seed,PR-AUC,ROC-AUC,category
backdoor,unsupervised,unsup_baseline,111,61.953120271887684,94.27292275516281,classical
fault,unsupervised,unsup_baseline,111,52.298227926618864,71.38641892556986,classical
fraud,unsupervised,unsup_baseline,111,15.09964892218784,94.79079870903522,classical
glass,unsupervised,unsup_baseline,111,13.447636986246822,86.82926829268291,classical
InternetAds,unsupervised,unsup_baseline,111,32.11465297138295,70.82341377809217,classical
Ionosphere,unsupervised,unsup_baseline,111,92.383013344734,95.78130511463844,classical
landsat,unsupervised,unsup_baseline,111,26.055194760739276,60.951135471049255,classical
letter,unsupervised,unsup_baseline,111,35.95022666504054,89.05466666666668,classical
magic.gamma,unsupervised,unsup_baseline,111,70.91283686289238,77.95787464867534,classical
skin,unsupervised,unsup_baseline,111,35.40283012213509,79.44163653544213,classical
vertebral,unsupervised,unsup_baseline,111,13.804537858074454,58.53968253968254,classical
vowels,unsupervised,unsup_baseline,111,57.84418277979936,96.73684210526316,classical
wine,unsupervised,unsup_baseline,111,5.493233891345044,34.957983193277315,classical
WPBC,unsupervised,unsup_baseline,111,20.461658851990528,46.52670142313654,classical
backdoor,unsupervised,unsup_baseline,222,62.28261876664859,94.40297834226699,classical
fault,unsupervised,unsup_baseline,222,54.06526851303839,72.46309898238033,classical
fraud,unsupervised,unsup_baseline,222,31.260225758841408,95.4020303256336,classical
glass,unsupervised,unsup_baseline,222,14.084551526545924,87.69647696476964,classical
InternetAds,unsupervised,unsup_baseline,222,32.273311240283604,72.31661859933612,classical
Ionosphere,unsupervised,unsup_baseline,222,92.34171238415347,95.48148148148148,classical
landsat,unsupervised,unsup_baseline,222,25.007145824892273,60.28698717211643,classical
letter,unsupervised,unsup_baseline,222,42.464374772504385,90.224,classical
magic.gamma,unsupervised,unsup_baseline,222,70.39252788908496,77.65048374555946,classical
skin,unsupervised,unsup_baseline,222,34.50623642704696,78.74617495256658,classical
vertebral,unsupervised,unsup_baseline,222,10.644064076727682,45.301587301587304,classical
vowels,unsupervised,unsup_baseline,222,57.4224499526809,96.89189189189189,classical
wine,unsupervised,unsup_baseline,222,23.56865224145459,84.6218487394958,classical
WPBC,unsupervised,unsup_baseline,222,25.3623376503774,51.134282091024374,classical
backdoor,unsupervised,unsup_baseline,333,64.09836006482324,94.30770532371177,classical
fault,unsupervised,unsup_baseline,333,55.40616398535286,73.84539305618705,classical
fraud,unsupervised,unsup_baseline,333,18.79417633733239,94.96978152738811,classical
glass,unsupervised,unsup_baseline,333,28.422500748169405,90.35230352303523,classical
InternetAds,unsupervised,unsup_baseline,333,32.316434174354505,72.49142950427164,classical
Ionosphere,unsupervised,unsup_baseline,333,89.89198360937046,94.26455026455027,classical
landsat,unsupervised,unsup_baseline,333,25.474693361621537,60.99003435688402,classical
letter,unsupervised,unsup_baseline,333,43.43531274228519,89.83133333333335,classical
magic.gamma,unsupervised,unsup_baseline,333,71.73707664248337,78.43027757171212,classical
skin,unsupervised,unsup_baseline,333,33.831526612612244,77.89704692454882,classical
vertebral,unsupervised,unsup_baseline,333,10.42647947636383,44.666666666666664,classical
vowels,unsupervised,unsup_baseline,333,27.869933836122378,91.84637268847796,classical
wine,unsupervised,unsup_baseline,333,17.900107504688393,81.93277310924371,classical
WPBC,unsupervised,unsup_baseline,333,22.323438304981824,48.38664224320135,classical
backdoor,unsupervised,unsup_baseline,444,62.93871669978115,93.95908807601214,classical
fault,unsupervised,unsup_baseline,444,54.49602797366775,73.09401380887874,classical
fraud,unsupervised,unsup_baseline,444,39.02352890666839,95.57273837031495,classical
glass,unsupervised,unsup_baseline,444,12.733452221682109,86.77506775067752,classical
InternetAds,unsupervised,unsup_baseline,444,31.481747708288616,69.81450998530772,classical
Ionosphere,unsupervised,unsup_baseline,444,90.95940868030675,94.68077601410934,classical
landsat,unsupervised,unsup_baseline,444,25.586355561189517,60.76200792652102,classical
letter,unsupervised,unsup_baseline,444,33.73055333659027,87.87066666666668,classical
magic.gamma,unsupervised,unsup_baseline,444,70.6177264799423,77.72823203180894,classical
skin,unsupervised,unsup_baseline,444,34.3373078814448,78.59938933698713,classical
vertebral,unsupervised,unsup_baseline,444,11.009409474967057,47.27777777777777,classical
vowels,unsupervised,unsup_baseline,444,38.05372478660151,91.60881934566146,classical
wine,unsupervised,unsup_baseline,444,22.531304247275212,83.8655462184874,classical
WPBC,unsupervised,unsup_baseline,444,23.448967191533363,53.38875581231506,classical
backdoor,unsupervised,unsup_baseline,555,62.422645321527746,93.91780287815622,classical
fault,unsupervised,unsup_baseline,555,53.25477251370454,71.30392189030707,classical
fraud,unsupervised,unsup_baseline,555,17.521964397757877,95.05921806927475,classical
glass,unsupervised,unsup_baseline,555,15.952378016301067,87.85907859078591,classical
InternetAds,unsupervised,unsup_baseline,555,31.860657141820298,72.14758937802688,classical
Ionosphere,unsupervised,unsup_baseline,555,90.73012648491265,93.9294532627866,classical
landsat,unsupervised,unsup_baseline,555,25.790429497571253,61.434155089144696,classical
letter,unsupervised,unsup_baseline,555,47.521907846307975,90.80333333333333,classical
magic.gamma,unsupervised,unsup_baseline,555,70.75562837066795,77.31750916528671,classical
skin,unsupervised,unsup_baseline,555,35.43265916167652,79.65993010408376,classical
vertebral,unsupervised,unsup_baseline,555,9.722348661962382,41.15873015873016,classical
vowels,unsupervised,unsup_baseline,555,44.65191250432592,96.53200568990043,classical
wine,unsupervised,unsup_baseline,555,8.189171113149623,45.96638655462185,classical
WPBC,unsupervised,unsup_baseline,555,21.64052922532554,48.18937579258842,classical
backdoor,unsupervised,unsup_lfdanc,111,62.95058990145741,90.70131603854162,classical
fault,unsupervised,unsup_lfdanc,111,40.80258070731456,57.35864179881035,classical
fraud,unsupervised,unsup_lfdanc,111,15.684590000340123,95.42505743014625,classical
glass,unsupervised,unsup_lfdanc,111,9.12777729610353,75.50135501355014,classical
InternetAds,unsupervised,unsup_lfdanc,111,23.10335908098115,56.84636366109811,classical
Ionosphere,unsupervised,unsup_lfdanc,111,88.3278495835645,90.55379188712521,classical
landsat,unsupervised,unsup_lfdanc,111,19.074891337406292,45.1048645148351,classical
letter,unsupervised,unsup_lfdanc,111,16.029360613748825,73.63266666666667,classical
magic.gamma,unsupervised,unsup_lfdanc,111,63.678687164274294,70.64069442590717,classical
skin,unsupervised,unsup_lfdanc,111,22.90590243322146,61.73331729269811,classical
vertebral,unsupervised,unsup_lfdanc,111,9.277738535476077,38.047619047619044,classical
vowels,unsupervised,unsup_lfdanc,111,21.69494969416537,83.20483641536272,classical
